id,source,cterm,sgn
SM_0001,hydro,ElmTerm_0111,79.74
SM_0002,hydro,ElmTerm_0086,38.25
SM_0003,gas,ElmTerm_0144,1503.9
SM_0004,hydro,ElmTerm_0053,52.830000000000005
SM_0005,hydro,ElmTerm_0053,29.25
SM_0006,gas,ElmTerm_0095,750.6
SM_0007,hydro,ElmTerm_0020,235.17000000000002
SM_0008,hydro,ElmTerm_0097,50.04
SM_0009,waste,ElmTerm_0038,14.4
SM_0010,gas,ElmTerm_0044,779.4
SM_0011,hydro,ElmTerm_0042,83.16000000000001
SM_0012,hydro,ElmTerm_0042,135.81
SM_0013,hydro,ElmTerm_0100,395.82
SM_0014,hydro,ElmTerm_0026,96.66000000000001
SM_0015,gas,ElmTerm_0029,375.3
SM_0016,nuclear,ElmTerm_0106,1789.2
SM_0017,solar,ElmTerm_0038,22.5
SM_0018,hydro,ElmTerm_0100,89.37
SM_0019,nuclear,ElmTerm_0093,978.3000000000001
SM_0020,wind,ElmTerm_0139,41.04
SM_0021,wind,ElmTerm_0139,21.6
SM_0022,wind,ElmTerm_0139,21.6
SM_0023,wind,ElmTerm_0139,43.56
SM_0024,wind,ElmTerm_0139,33.12
SM_0025,wind,ElmTerm_0139,41.4
SM_0026,wind,ElmTerm_0094,39.6
SM_0027,wind,ElmTerm_0094,33.75
SM_0028,wind,ElmTerm_0094,11.25
SM_0029,wind,ElmTerm_0094,25.2
SM_0030,hydro,ElmTerm_0102,47.16
SM_0031,biomass,ElmTerm_0134,0.675
SM_0032,hydro,ElmTerm_0132,0.54
SM_0033,solar,ElmTerm_0038,0.09000000000000001
SM_0034,solar,ElmTerm_0102,1.8
SM_0035,wind,ElmTerm_0040,2.115
SM_0036,wind,ElmTerm_0041,0.20700000000000002
SM_0037,wind,ElmTerm_0094,32.4
SM_0038,wind,ElmTerm_0139,43.74
