loc_name,bus1,bus1.__switch__.on_off,Re,Xe
ElmXnet_0001,ElmTerm_tieline_0001,1,0.1,0.1
ElmXnet_0002,ElmTerm_tieline_0002,1,0.1,0.1
ElmXnet_0003,ElmTerm_tieline_0004,1,0.1,0.1
ElmXnet_0004,ElmTerm_tieline_0005,1,0.1,0.1
ElmXnet_0005,ElmTerm_tieline_0006,1,0.1,0.1
ElmXnet_0006,ElmTerm_tieline_0007,1,0.1,0.1
ElmXnet_0007,ElmTerm_tieline_0010,1,0.1,0.1
ElmXnet_0008,ElmTerm_tieline_0011,1,0.1,0.1
ElmXnet_0009,ElmTerm_tieline_0013,1,0.1,0.1
ElmXnet_0010,ElmTerm_tieline_0014,1,0.1,0.1
ElmXnet_0011,ElmTerm_tieline_0015,1,0.1,0.1
ElmXnet_0012,ElmTerm_tieline_0017,1,0.1,0.1
ElmXnet_0013,ElmTerm_tieline_0019,1,0.1,0.1
ElmXnet_0014,ElmTerm_tieline_0020,1,0.1,0.1
ElmXnet_0015,ElmTerm_tieline_0021,1,0.1,0.1
ElmXnet_0016,ElmTerm_tieline_0022,1,0.1,0.1
ElmXnet_0017,ElmTerm_tieline_0023,1,0.1,0.1
ElmXnet_0018,ElmTerm_tieline_0025,1,0.1,0.1
ElmXnet_0019,ElmTerm_tieline_0027,1,0.1,0.1
ElmXnet_0020,ElmTerm_tieline_0029,1,0.1,0.1
ElmXnet_0021,ElmTerm_tieline_0030,1,0.1,0.1
ElmXnet_0022,ElmTerm_tieline_0031,1,0.1,0.1
ElmXnet_0023,ElmTerm_tieline_0003,1,0.1,0.1
ElmXnet_0024,ElmTerm_tieline_0008,1,0.1,0.1
ElmXnet_0025,ElmTerm_tieline_0012,1,0.1,0.1
ElmXnet_0026,ElmTerm_tieline_0024,1,0.1,0.1
ElmXnet_0027,ElmTerm_tieline_0016,1,0.1,0.1
ElmXnet_0028,ElmTerm_tieline_0028,1,0.1,0.1
ElmXnet_0029,ElmTerm_tieline_0032,1,0.1,0.1
