Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-07-25 00:00:00,2021-07-25 01:00:00,5098.700
2021-07-25 01:00:00,2021-07-25 02:00:00,4813.900
2021-07-25 02:00:00,2021-07-25 03:00:00,4725.800
2021-07-25 03:00:00,2021-07-25 04:00:00,4531.400
2021-07-25 04:00:00,2021-07-25 05:00:00,4476.500
2021-07-25 05:00:00,2021-07-25 06:00:00,4529.700
2021-07-25 06:00:00,2021-07-25 07:00:00,4719.900
2021-07-25 07:00:00,2021-07-25 08:00:00,5026.600
2021-07-25 08:00:00,2021-07-25 09:00:00,5397.300
2021-07-25 09:00:00,2021-07-25 10:00:00,5737.100
2021-07-25 10:00:00,2021-07-25 11:00:00,6023.100
2021-07-25 11:00:00,2021-07-25 12:00:00,6194.200
2021-07-25 12:00:00,2021-07-25 13:00:00,6046.200
2021-07-25 13:00:00,2021-07-25 14:00:00,5903.200
2021-07-25 14:00:00,2021-07-25 15:00:00,5876.300
2021-07-25 15:00:00,2021-07-25 16:00:00,5843.100
2021-07-25 16:00:00,2021-07-25 17:00:00,6012.700
2021-07-25 17:00:00,2021-07-25 18:00:00,6161.100
2021-07-25 18:00:00,2021-07-25 19:00:00,6182.400
2021-07-25 19:00:00,2021-07-25 20:00:00,6148.800
2021-07-25 20:00:00,2021-07-25 21:00:00,6061.400
2021-07-25 21:00:00,2021-07-25 22:00:00,5918.200
2021-07-25 22:00:00,2021-07-25 23:00:00,5825.900
2021-07-25 23:00:00,2021-07-26 00:00:00,5426.900
