NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;YEAR_OF_CONSTRUCTION;NUMBER;POWER;UNIT
AT1;AT13;AT130;90001;0;2019;1989;1;10,00;kWp
AT1;AT13;AT130;90001;0;2019;1992;1;2,60;kWp
AT1;AT13;AT130;90001;0;2019;1994;1;5,40;kWp
AT1;AT13;AT130;90001;0;2019;1997;2;17,50;kWp
AT1;AT13;AT130;90001;0;2019;1999;1;1,00;kWp
AT1;AT13;AT130;90001;0;2019;2000;4;30,80;kWp
AT1;AT13;AT130;90001;0;2019;2001;26;115,15;kWp
AT1;AT13;AT130;90001;0;2019;2002;2;4,60;kWp
AT1;AT13;AT130;90001;0;2019;2003;3;21,60;kWp
AT1;AT13;AT130;90001;0;2019;2004;4;20,28;kWp
AT1;AT13;AT130;90001;0;2019;2005;6;38,15;kWp
AT1;AT13;AT130;90001;0;2019;2006;11;133,83;kWp
AT1;AT13;AT130;90001;0;2019;2007;11;152,33;kWp
AT1;AT13;AT130;90001;0;2019;2008;25;244,30;kWp
AT1;AT13;AT130;90001;0;2019;2009;110;605,51;kWp
AT1;AT13;AT130;90001;0;2019;2010;65;388,30;kWp
AT1;AT13;AT130;90001;0;2019;2011;156;1.231,35;kWp
AT1;AT13;AT130;90001;0;2019;2012;278;3.669,27;kWp
AT1;AT13;AT130;90001;0;2019;2013;426;5.206,02;kWp
AT1;AT13;AT130;90001;0;2019;2014;193;5.018,35;kWp
AT1;AT13;AT130;90001;0;2019;2015;255;4.693,62;kWp
AT1;AT13;AT130;90001;0;2019;2016;206;3.185,97;kWp
AT1;AT13;AT130;90001;0;2019;2017;242;4.939,38;kWp
AT1;AT13;AT130;90001;0;2019;2018;223;3.858,83;kWp
AT1;AT13;AT130;90001;0;2019;2019;315;5.288,02;kWp
